date,store,item,sales
2022-01-01,Store_1,Item_1,86
2022-01-02,Store_1,Item_1,108
2022-01-03,Store_1,Item_1,98
2022-01-04,Store_1,Item_1,116
2022-01-05,Store_1,Item_1,70
2022-01-06,Store_1,Item_1,86
2022-01-07,Store_1,Item_1,49
2022-01-08,Store_1,Item_1,90
2022-01-09,Store_1,Item_1,108
2022-01-10,Store_1,Item_1,71
2022-01-11,Store_1,Item_1,92
2022-01-12,Store_1,Item_1,87
2022-01-13,Store_1,Item_1,91
2022-01-14,Store_1,Item_1,82
2022-01-15,Store_1,Item_1,91
2022-01-16,Store_1,Item_1,99
2022-01-17,Store_1,Item_1,96
2022-01-18,Store_1,Item_1,77
2022-01-19,Store_1,Item_1,95
2022-01-20,Store_1,Item_1,92
2022-01-21,Store_1,Item_1,116
2022-01-22,Store_1,Item_1,101
2022-01-23,Store_1,Item_1,93
2022-01-24,Store_1,Item_1,132
2022-01-25,Store_1,Item_1,53
2022-01-26,Store_1,Item_1,116
2022-01-27,Store_1,Item_1,110
2022-01-28,Store_1,Item_1,73
2022-01-29,Store_1,Item_1,127
2022-01-30,Store_1,Item_1,113
2022-01-31,Store_1,Item_1,88
2022-02-01,Store_1,Item_1,72
2022-02-02,Store_1,Item_1,107
2022-02-03,Store_1,Item_1,82
2022-02-04,Store_1,Item_1,69
2022-02-05,Store_1,Item_1,99
2022-02-06,Store_1,Item_1,97
2022-02-07,Store_1,Item_1,98
2022-02-08,Store_1,Item_1,94
2022-02-09,Store_1,Item_1,121
2022-02-10,Store_1,Item_1,112
2022-02-11,Store_1,Item_1,94
2022-02-12,Store_1,Item_1,90
2022-02-13,Store_1,Item_1,132
2022-02-14,Store_1,Item_1,114
2022-02-15,Store_1,Item_1,152
2022-02-16,Store_1,Item_1,104
2022-02-17,Store_1,Item_1,132
2022-02-18,Store_1,Item_1,108
2022-02-19,Store_1,Item_1,111
2022-02-20,Store_1,Item_1,79
2022-02-21,Store_1,Item_1,114
2022-02-22,Store_1,Item_1,83
2022-02-23,Store_1,Item_1,90
2022-02-24,Store_1,Item_1,99
2022-02-25,Store_1,Item_1,95
2022-02-26,Store_1,Item_1,79
2022-02-27,Store_1,Item_1,95
2022-02-28,Store_1,Item_1,120
2022-03-01,Store_1,Item_1,115
2022-03-02,Store_1,Item_1,115
2022-03-03,Store_1,Item_1,105
2022-03-04,Store_1,Item_1,115
2022-03-05,Store_1,Item_1,116
2022-03-06,Store_1,Item_1,108
2022-03-07,Store_1,Item_1,125
2022-03-08,Store_1,Item_1,97
2022-03-09,Store_1,Item_1,87
2022-03-10,Store_1,Item_1,126
2022-03-11,Store_1,Item_1,127
2022-03-12,Store_1,Item_1,81
2022-03-13,Store_1,Item_1,125
2022-03-14,Store_1,Item_1,62
2022-03-15,Store_1,Item_1,124
2022-03-16,Store_1,Item_1,84
2022-03-17,Store_1,Item_1,119
2022-03-18,Store_1,Item_1,91
2022-03-19,Store_1,Item_1,120
2022-03-20,Store_1,Item_1,86
2022-03-21,Store_1,Item_1,98
2022-03-22,Store_1,Item_1,102
2022-03-23,Store_1,Item_1,123
2022-03-24,Store_1,Item_1,139
2022-03-25,Store_1,Item_1,115
2022-03-26,Store_1,Item_1,119
2022-03-27,Store_1,Item_1,93
2022-03-28,Store_1,Item_1,75
2022-03-29,Store_1,Item_1,107
2022-03-30,Store_1,Item_1,106
2022-03-31,Store_1,Item_1,116
2022-04-01,Store_1,Item_1,118
2022-04-02,Store_1,Item_1,121
2022-04-03,Store_1,Item_1,84
2022-04-04,Store_1,Item_1,122
2022-04-05,Store_1,Item_1,102
2022-04-06,Store_1,Item_1,85
2022-04-07,Store_1,Item_1,95
2022-04-08,Store_1,Item_1,76
2022-04-09,Store_1,Item_1,107
2022-04-10,Store_1,Item_1,129
2022-04-11,Store_1,Item_1,97
2022-04-12,Store_1,Item_1,86
2022-04-13,Store_1,Item_1,98
2022-04-14,Store_1,Item_1,113
2022-04-15,Store_1,Item_1,77
2022-04-16,Store_1,Item_1,93
2022-04-17,Store_1,Item_1,116
2022-04-18,Store_1,Item_1,78
2022-04-19,Store_1,Item_1,142
2022-04-20,Store_1,Item_1,100
2022-04-21,Store_1,Item_1,85
2022-04-22,Store_1,Item_1,87
2022-04-23,Store_1,Item_1,103
2022-04-24,Store_1,Item_1,102
2022-04-25,Store_1,Item_1,61
2022-04-26,Store_1,Item_1,128
2022-04-27,Store_1,Item_1,102
2022-04-28,Store_1,Item_1,102
2022-04-29,Store_1,Item_1,119
2022-04-30,Store_1,Item_1,91
2022-05-01,Store_1,Item_1,97
2022-05-02,Store_1,Item_1,111
2022-05-03,Store_1,Item_1,101
2022-05-04,Store_1,Item_1,109
2022-05-05,Store_1,Item_1,100
2022-05-06,Store_1,Item_1,97
2022-05-07,Store_1,Item_1,140
2022-05-08,Store_1,Item_1,133
2022-05-09,Store_1,Item_1,51
2022-05-10,Store_1,Item_1,131
2022-05-11,Store_1,Item_1,144
2022-05-12,Store_1,Item_1,126
2022-05-13,Store_1,Item_1,96
2022-05-14,Store_1,Item_1,97
2022-05-15,Store_1,Item_1,125
2022-05-16,Store_1,Item_1,88
2022-05-17,Store_1,Item_1,107
2022-05-18,Store_1,Item_1,100
2022-05-19,Store_1,Item_1,124
2022-05-20,Store_1,Item_1,92
2022-05-21,Store_1,Item_1,101
2022-05-22,Store_1,Item_1,117
2022-05-23,Store_1,Item_1,138
2022-05-24,Store_1,Item_1,101
2022-05-25,Store_1,Item_1,90
2022-05-26,Store_1,Item_1,116
2022-05-27,Store_1,Item_1,113
2022-05-28,Store_1,Item_1,89
2022-05-29,Store_1,Item_1,97
2022-05-30,Store_1,Item_1,120
2022-05-31,Store_1,Item_1,106
2022-06-01,Store_1,Item_1,48
2022-06-02,Store_1,Item_1,107
2022-06-03,Store_1,Item_1,115
2022-06-04,Store_1,Item_1,90
2022-06-05,Store_1,Item_1,120
2022-06-06,Store_1,Item_1,134
2022-06-07,Store_1,Item_1,104
