date,store,item,sales
2022-01-01,Store_1,Item_1,95.0
2022-01-02,Store_1,Item_1,100.0
2022-01-03,Store_1,Item_1,
2022-01-04,Store_1,Item_1,95.0
2022-01-05,Store_1,Item_1,84.0
2022-01-06,Store_1,Item_1,88.0
2022-01-07,Store_1,Item_1,79.0
2022-01-08,Store_1,Item_1,97.0
2022-01-09,Store_1,Item_1,102.0
2022-01-10,Store_1,Item_1,85.0
2022-01-11,Store_1,Item_1,91.0
2022-01-12,Store_1,Item_1,90.0
2022-01-13,Store_1,Item_1,91.0
2022-01-14,Store_1,Item_1,89.0
2022-01-15,Store_1,Item_1,99.0
2022-01-16,Store_1,Item_1,101.0
2022-01-17,Store_1,Item_1,93.0
2022-01-18,Store_1,Item_1,88.0
2022-01-19,Store_1,Item_1,93.0
2022-01-20,Store_1,Item_1,93.0
2022-01-21,Store_1,Item_1,99.0
2022-01-22,Store_1,Item_1,103.0
2022-01-23,Store_1,Item_1,101.0
2022-01-24,Store_1,Item_1,103.0
2022-01-25,Store_1,Item_1,84.0
2022-01-26,Store_1,Item_1,100.0
2022-01-27,Store_1,Item_1,99.0
2022-01-28,Store_1,Item_1,89.0
2022-01-29,Store_1,Item_1,111.0
2022-01-30,Store_1,Item_1,107.0
2022-01-31,Store_1,Item_1,94.0
2022-02-01,Store_1,Item_1,90.0
2022-02-02,Store_1,Item_1,
2022-02-03,Store_1,Item_1,93.0
2022-02-04,Store_1,Item_1,90.0
2022-02-05,Store_1,Item_1,105.0
2022-02-06,Store_1,Item_1,105.0
2022-02-07,Store_1,Item_1,98.0
2022-02-08,Store_1,Item_1,97.0
2022-02-09,Store_1,Item_1,104.0
2022-02-10,Store_1,Item_1,102.0
2022-02-11,Store_1,Item_1,97.0
2022-02-12,Store_1,Item_1,104.0
2022-02-13,Store_1,Item_1,115.0
2022-02-14,Store_1,Item_1,103.0
2022-02-15,Store_1,Item_1,113.0
2022-02-16,Store_1,Item_1,101.0
2022-02-17,Store_1,Item_1,108.0
2022-02-18,Store_1,Item_1,102.0
2022-02-19,Store_1,Item_1,110.0
2022-02-20,Store_1,Item_1,103.0
2022-02-21,Store_1,Item_1,104.0
2022-02-22,Store_1,Item_1,
2022-02-23,Store_1,Item_1,98.0
2022-02-24,Store_1,Item_1,
2022-02-25,Store_1,Item_1,100.0
2022-02-26,Store_1,Item_1,104.0
2022-02-27,Store_1,Item_1,108.0
2022-02-28,Store_1,Item_1,106.0
2022-03-01,Store_1,Item_1,105.0
2022-03-02,Store_1,Item_1,106.0
2022-03-03,Store_1,Item_1,103.0
2022-03-04,Store_1,Item_1,106.0
2022-03-05,Store_1,Item_1,114.0
2022-03-06,Store_1,Item_1,112.0
2022-03-07,Store_1,Item_1,109.0
2022-03-08,Store_1,Item_1,102.0
2022-03-09,Store_1,Item_1,99.0
2022-03-10,Store_1,Item_1,109.0
2022-03-11,Store_1,Item_1,109.0
2022-03-12,Store_1,Item_1,106.0
2022-03-13,Store_1,Item_1,117.0
2022-03-14,Store_1,Item_1,93.0
2022-03-15,Store_1,Item_1,109.0
2022-03-16,Store_1,Item_1,99.0
2022-03-17,Store_1,Item_1,108.0
2022-03-18,Store_1,Item_1,101.0
2022-03-19,Store_1,Item_1,116.0
2022-03-20,Store_1,Item_1,107.0
2022-03-21,Store_1,Item_1,103.0
2022-03-22,Store_1,Item_1,
2022-03-23,Store_1,Item_1,
2022-03-24,Store_1,Item_1,
2022-03-25,Store_1,Item_1,108.0
2022-03-26,Store_1,Item_1,
2022-03-27,Store_1,Item_1,110.0
2022-03-28,Store_1,Item_1,98.0
2022-03-29,Store_1,Item_1,106.0
2022-03-30,Store_1,Item_1,106.0
2022-03-31,Store_1,Item_1,108.0
2022-04-01,Store_1,Item_1,108.0
2022-04-02,Store_1,Item_1,117.0
2022-04-03,Store_1,Item_1,
2022-04-04,Store_1,Item_1,110.0
